Benchmark (Subset) set:
| Dataset   | # samples | Accuracy | 1 - NED | Confidence | Label Length |
|:---------:|----------:|---------:|--------:|-----------:|-------------:|
| IIIT5k    |      3000 |    98.83 |   99.72 |      96.81 |         5.09 |
| SVT       |       647 |    98.15 |   99.50 |      95.76 |         5.87 |
| IC13_857  |       857 |    98.13 |   99.60 |      97.17 |         5.99 |
| IC15_1811 |      1811 |    90.67 |   97.24 |      92.63 |         5.38 |
| SVTP      |       645 |    94.88 |   98.40 |      93.69 |         5.91 |
| CUTE80    |       288 |    98.96 |   99.69 |      96.64 |         5.53 |
|-----------|-----------|----------|---------|------------|--------------|
| Combined  |      7248 |    96.30 |   98.95 |      95.43 |         5.43 |


Benchmark set:
| Dataset   | # samples | Accuracy | 1 - NED | Confidence | Label Length |
|:---------:|----------:|---------:|--------:|-----------:|-------------:|
| IIIT5k    |      3000 |    98.83 |   99.72 |      96.81 |         5.09 |
| SVT       |       647 |    98.15 |   99.50 |      95.76 |         5.87 |
| IC13_1015 |      1015 |    98.23 |   99.52 |      97.30 |         5.31 |
| IC15_2077 |      2077 |    89.65 |   96.63 |      91.60 |         5.37 |
| SVTP      |       645 |    94.88 |   98.40 |      93.69 |         5.91 |
| CUTE80    |       288 |    98.96 |   99.69 |      96.64 |         5.53 |
|-----------|-----------|----------|---------|------------|--------------|
| Combined  |      7672 |    95.88 |   98.73 |      95.11 |         5.35 |


